game_name,aspect,mentions,positive_count,neutral_count,negative_count,positive_pct,neutral_pct,negative_pct
007 First Light,Gameplay,44,43,1,0,97.73,2.27,0.0
007 First Light,Story,44,43,1,0,97.73,2.27,0.0
007 First Light,Graphics,6,6,0,0,100.0,0.0,0.0
007 First Light,Characters,28,26,2,0,92.86,7.14,0.0
007 First Light,Level Design,9,9,0,0,100.0,0.0,0.0
007 First Light,Music & Sound,2,1,0,1,50.0,0.0,50.0
007 First Light,Difficulty,5,5,0,0,100.0,0.0,0.0
007 First Light,Performance,11,11,0,0,100.0,0.0,0.0
007 First Light,Replayability,4,2,2,0,50.0,50.0,0.0
1000xRESIST,Gameplay,8,7,1,0,87.5,12.5,0.0
1000xRESIST,Story,20,18,2,0,90.0,10.0,0.0
1000xRESIST,Graphics,2,2,0,0,100.0,0.0,0.0
1000xRESIST,Characters,4,3,1,0,75.0,25.0,0.0
1000xRESIST,Music & Sound,1,1,0,0,100.0,0.0,0.0
1000xRESIST,Difficulty,2,2,0,0,100.0,0.0,0.0
13 Sentinels Aegis Rim,Gameplay,43,37,6,0,86.05,13.95,0.0
13 Sentinels Aegis Rim,Story,77,73,4,0,94.81,5.19,0.0
13 Sentinels Aegis Rim,Graphics,29,26,3,0,89.66,10.34,0.0
13 Sentinels Aegis Rim,Characters,12,12,0,0,100.0,0.0,0.0
13 Sentinels Aegis Rim,Level Design,3,3,0,0,100.0,0.0,0.0
13 Sentinels Aegis Rim,Music & Sound,1,1,0,0,100.0,0.0,0.0
13 Sentinels Aegis Rim,Difficulty,9,7,2,0,77.78,22.22,0.0
13 Sentinels Aegis Rim,Performance,1,1,0,0,100.0,0.0,0.0
13 Sentinels Aegis Rim,Replayability,1,1,0,0,100.0,0.0,0.0
2XKO,Gameplay,4,4,0,0,100.0,0.0,0.0
2XKO,Characters,2,2,0,0,100.0,0.0,0.0
2XKO,Level Design,1,1,0,0,100.0,0.0,0.0
2XKO,Performance,2,1,1,0,50.0,50.0,0.0
2XKO,Replayability,2,2,0,0,100.0,0.0,0.0
3 Out of 10: Season Two,Story,1,1,0,0,100.0,0.0,0.0
3 Out of 10: Season Two,Difficulty,1,0,1,0,0.0,100.0,0.0
30 Birds,Gameplay,1,1,0,0,100.0,0.0,0.0
30 Birds,Story,3,3,0,0,100.0,0.0,0.0
30 Birds,Graphics,1,1,0,0,100.0,0.0,0.0
30 Birds,Characters,2,2,0,0,100.0,0.0,0.0
30 Birds,Level Design,1,1,0,0,100.0,0.0,0.0
30 Birds,Music & Sound,2,2,0,0,100.0,0.0,0.0
30 Birds,Difficulty,1,1,0,0,100.0,0.0,0.0
30 Birds,Performance,1,1,0,0,100.0,0.0,0.0
30XX,Gameplay,11,11,0,0,100.0,0.0,0.0
30XX,Graphics,3,3,0,0,100.0,0.0,0.0
30XX,Level Design,8,8,0,0,100.0,0.0,0.0
30XX,Music & Sound,1,1,0,0,100.0,0.0,0.0
30XX,Difficulty,7,7,0,0,100.0,0.0,0.0
30XX,Performance,1,1,0,0,100.0,0.0,0.0
30XX,Replayability,6,6,0,0,100.0,0.0,0.0
428: Shibuya Scramble,Story,11,9,2,0,81.82,18.18,0.0
428: Shibuya Scramble,Graphics,16,13,3,0,81.25,18.75,0.0
428: Shibuya Scramble,Characters,8,7,1,0,87.5,12.5,0.0
6180 The Moon,Gameplay,4,3,1,0,75.0,25.0,0.0
6180 The Moon,Graphics,1,1,0,0,100.0,0.0,0.0
6180 The Moon,Level Design,2,0,2,0,0.0,100.0,0.0
6180 The Moon,Music & Sound,1,1,0,0,100.0,0.0,0.0
6180 The Moon,Difficulty,3,2,1,0,66.67,33.33,0.0
6180 The Moon,Replayability,1,0,1,0,0.0,100.0,0.0
8-Bit Adventures 2,Gameplay,7,7,0,0,100.0,0.0,0.0
8-Bit Adventures 2,Story,7,7,0,0,100.0,0.0,0.0
8-Bit Adventures 2,Graphics,2,2,0,0,100.0,0.0,0.0
8-Bit Adventures 2,Characters,1,1,0,0,100.0,0.0,0.0
8-Bit Adventures 2,Music & Sound,2,2,0,0,100.0,0.0,0.0
8-Bit Adventures 2,Difficulty,4,3,1,0,75.0,25.0,0.0
8-Bit Adventures 2,Replayability,1,1,0,0,100.0,0.0,0.0
80 Days,Story,1,1,0,0,100.0,0.0,0.0
A Monster's Expedition,Gameplay,4,3,1,0,75.0,25.0,0.0
A Monster's Expedition,Story,1,1,0,0,100.0,0.0,0.0
A Monster's Expedition,Characters,1,1,0,0,100.0,0.0,0.0
A Monster's Expedition,Level Design,4,4,0,0,100.0,0.0,0.0
A Monster's Expedition,Music & Sound,2,1,1,0,50.0,50.0,0.0
A Monster's Expedition,Difficulty,5,4,1,0,80.0,20.0,0.0
A Monster's Expedition,Performance,1,1,0,0,100.0,0.0,0.0
A Mortician's Tale,Story,1,1,0,0,100.0,0.0,0.0
A Plague Tale: Innocence,Gameplay,58,43,15,0,74.14,25.86,0.0
A Plague Tale: Innocence,Story,90,71,19,0,78.89,21.11,0.0
A Plague Tale: Innocence,Graphics,11,11,0,0,100.0,0.0,0.0
A Plague Tale: Innocence,Characters,32,23,9,0,71.88,28.12,0.0
