game_name,sentiment,phrase,score
007 First Light,positive,James Bond game,6.251542170578193e-05
007 First Light,positive,James Bond,7.687013503848376e-05
007 First Light,positive,James Bond games,0.0002344328313966822
007 First Light,positive,Bond game,0.00030904957417816334
007 First Light,positive,Bond,0.00036129850091113003
007 First Light,positive,Light,0.00046380617963608214
007 First Light,positive,James Bond video,0.0006634852315097793
007 First Light,positive,Bond video game,0.0011145426058245566
007 First Light,positive,James Bond fan,0.0012684282909845262
007 First Light,positive,James Bond back,0.0013437057732999245
007 First Light,positive,James,0.0013657210223869333
007 First Light,positive,game,0.0016539065073117663
007 First Light,positive,Bond games,0.002039727189575878
007 First Light,positive,James Bond universe,0.0021497551294698647
007 First Light,positive,young James Bond,0.0021727378470418855
007 First Light,neutral,Bond-iverse shines,0.01018793251187892
007 First Light,neutral,Patrick Gibson Bond,0.021304489514814333
007 First Light,neutral,Bond,0.04118151951666723
007 First Light,neutral,hope Patrick Gibson,0.05032628758008701
007 First Light,neutral,Bond-iverse,0.06739132475525969
007 First Light,neutral,young Bond,0.07057965055934452
007 First Light,neutral,Gibson Bond,0.0708435133403173
007 First Light,neutral,Patrick Gibson,0.07722297597166793
007 First Light,neutral,familiar game,0.09482827749902448
007 First Light,neutral,young Bond campaign,0.10178421433302864
007 First Light,neutral,young Bond universe,0.12179232488884188
007 First Light,neutral,Bond game,0.14288372998800683
007 First Light,neutral,Bond campaign,0.1444376013097686
007 First Light,neutral,shines,0.14965109175475555
007 First Light,neutral,story-led Bond game,0.1544093614450395
007 First Light,negative,illusion quickly falls,0.0042542192213185686
007 First Light,negative,Bond adventure,0.008293207122436794
007 First Light,negative,sound and occasional,0.015380821171891606
007 First Light,negative,occasional swagger,0.02570861714399338
007 First Light,negative,start poking,0.02570861714399338
007 First Light,negative,illusion quickly,0.02570861714399338
007 First Light,negative,quickly falls,0.02570861714399338
007 First Light,negative,Light,0.08596317751626563
007 First Light,negative,Bond,0.08596317751626563
007 First Light,negative,sound,0.09568045026443411
007 First Light,negative,adventure,0.09568045026443411
007 First Light,negative,systems,0.09568045026443411
007 First Light,negative,occasional,0.15831692877998726
007 First Light,negative,swagger,0.15831692877998726
007 First Light,negative,start,0.15831692877998726
1000xRESIST,positive,Sunset Visitor,0.01478988745396035
1000xRESIST,positive,game,0.018293627536245145
1000xRESIST,positive,story,0.028436491690941732
1000xRESIST,positive,narrative,0.041825450728276314
1000xRESIST,positive,experience,0.0488227153585332
1000xRESIST,positive,Visitor,0.04960643273363277
1000xRESIST,positive,narrative adventure game,0.05075557044486041
1000xRESIST,positive,games,0.05183194468602792
1000xRESIST,positive,Sunset,0.05552301391956236
1000xRESIST,positive,developer Sunset Visitor,0.06014859613707618
1000xRESIST,positive,video game,0.06619812359706401
1000xRESIST,positive,world,0.0690521532230829
1000xRESIST,positive,spectacularly visualized,0.06942679307651416
1000xRESIST,positive,rich fiction,0.071221630261756
1000xRESIST,positive,beautifully written,0.071221630261756
1000xRESIST,neutral,short run time,0.002363565257422448
1000xRESIST,neutral,requires a lot,0.017483202675950948
1000xRESIST,neutral,lot of attention,0.017483202675950948
1000xRESIST,neutral,love a great,0.017483202675950948
1000xRESIST,neutral,short run,0.017483202675950948
1000xRESIST,neutral,run time,0.017483202675950948
1000xRESIST,neutral,great story,0.025677340268978846
1000xRESIST,neutral,science fiction universe,0.043435224114631174
1000xRESIST,neutral,intriguing characters set,0.05592477573015761
1000xRESIST,neutral,unique science fiction,0.05592477573015761
1000xRESIST,neutral,introduces interesting dynamics,0.05592477573015761
1000xRESIST,neutral,memorable story,0.07027511422354916
1000xRESIST,neutral,story with intriguing,0.07027511422354916
1000xRESIST,neutral,players who love,0.07119424587315441
1000xRESIST,neutral,story,0.09549099259184553
13 Sentinels Aegis Rim,positive,Aegis Rim,5.502915987380951e-05
13 Sentinels Aegis Rim,positive,Sentinels Aegis Rim,0.000232365184406754
13 Sentinels Aegis Rim,positive,Rim,0.0007348192218807066
13 Sentinels Aegis Rim,positive,Sentinels,0.0008130868829443752
13 Sentinels Aegis Rim,positive,Aegis,0.0008279884450804237
13 Sentinels Aegis Rim,positive,Aegis Rim Switch,0.0010706990481241417
13 Sentinels Aegis Rim,positive,Aegis Rim makes,0.0013214817373389351
13 Sentinels Aegis Rim,positive,Aegis Rim plot,0.0029225407073461746
13 Sentinels Aegis Rim,positive,Sentinals Aegis Rim,0.003249540353859166
13 Sentinels Aegis Rim,positive,Sentinels Aegis,0.003477673519730428
