game_id,game_name,review_count,positive_pct,neutral_pct,negative_pct,overall_sentiment
124,Rogue Legacy 2,66,98.48,1.52,0.0,positive
193,Sonic Mania Plus,67,98.51,1.49,0.0,positive
204,I Expect You To Die 3: Cog in the Machine,6,83.33,16.67,0.0,positive
221,Horizon Forbidden West,182,90.11,9.89,0.0,positive
255,StarVaders,24,83.33,16.67,0.0,positive
262,Dragon Age: Inquisition,101,88.12,11.88,0.0,positive
299,Uncharted: Legacy of Thieves Collection,135,85.93,14.07,0.0,positive
325,Marvel's Spider-Man: Remastered,79,94.94,5.06,0.0,positive
343,Not For Broadcast,16,75.0,25.0,0.0,positive
366,Ni no Kuni 2: Revenant Kingdom,126,82.54,17.46,0.0,positive
369,Mixtape,109,84.4,13.76,1.83,positive
394,3D Don't Die Mr Robot,4,100.0,0.0,0.0,positive
427,Football Manager 2022,40,97.5,2.5,0.0,positive
536,Xenoblade Chronicles 3D,46,84.78,13.04,2.17,positive
556,Transistor,84,82.14,16.67,1.19,positive
577,Day of the Tentacle Remastered,43,95.35,4.65,0.0,positive
580,F1 2021,80,86.25,13.75,0.0,positive
594,Hitman 3,184,91.3,8.7,0.0,positive
600,MLB 16: The Show,30,76.67,23.33,0.0,positive
629,Riven,38,89.47,10.53,0.0,positive
713,Danganronpa Decadence,16,87.5,12.5,0.0,positive
788,Valkyria Chronicles 4,91,82.42,16.48,1.1,positive
966,Eschatos,4,100.0,0.0,0.0,positive
974,Kind Words (lo fi chill beats to write to),3,100.0,0.0,0.0,positive
986,Just a To the Moon Series Beach Episode,3,100.0,0.0,0.0,positive
1055,SEGA AGES Virtua Racing,5,60.0,40.0,0.0,positive
1104,Horizon Zero Dawn Complete Edition,54,74.07,24.07,1.85,positive
1117,Skylanders Swap Force,17,82.35,17.65,0.0,positive
1179,Fuga: Melodies of Steel,28,67.86,32.14,0.0,positive
1285,Max Mustard,11,72.73,27.27,0.0,positive
1314,Goodnight Universe,31,83.87,16.13,0.0,positive
1324,Hearthstone: Blackrock Mountain,5,60.0,40.0,0.0,positive
1392,Guardians of the Galaxy,174,86.78,13.22,0.0,positive
1396,Lego Star Wars: The Skywalker Saga,160,88.12,11.25,0.62,positive
1408,Mario & Luigi: Superstar Saga + Bowser's Minions,47,85.11,14.89,0.0,positive
1433,ACA NEOGEO Magical Drop III,3,66.67,33.33,0.0,positive
1454,Pine Hearts,8,87.5,12.5,0.0,positive
1494,Black Myth: Wukong,100,75.0,25.0,0.0,positive
1551,Golf Story,41,73.17,26.83,0.0,positive
1624,Coffee Talk Episode 2: Hibiscus & Butterfly,46,73.91,26.09,0.0,positive
1674,Under Defeat,11,90.91,9.09,0.0,positive
1720,Dungeons of Hinterberg,56,82.14,17.86,0.0,positive
1742,Trine: Enchanted Edition,12,75.0,25.0,0.0,positive
1767,NeverAwake,16,87.5,12.5,0.0,positive
1790,tERRORbane,11,63.64,36.36,0.0,positive
1820,Atelier Ryza: Ever Darkness & the Secret Hideout,54,81.48,18.52,0.0,positive
1874,Yoshi and the Mysterious Book,102,80.39,19.61,0.0,positive
1906,Snufkin: Melody of Moominvalley,32,78.12,21.88,0.0,positive
1935,Cotton Fantasy,28,82.14,17.86,0.0,positive
1938,Panzer Paladin,31,64.52,32.26,3.23,positive
